Pool,Title,Author,Publication Title,Vote_Reviewer_1,Vote_Reviewer_2,Agreement,Final_Decision,Rationale,Status
Pool 1 (Aravind & Joel),"""Consent by Delight"": How Viral, Playful AI Experiences Blur Privacy Risk Perception and Ethical Boundaries","Lee, Joongho",2025 IEEE International Symposium on Technology and Society (ISTAS),Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),"""Create a Fear of Missing Out"" - ChatGPT Implements Unsolicited Deceptive Designs in Generated Websites Without Warning","Krauß, Veronika; McGill, Mark; Kosch, Thomas; Thiel, Yolanda Maira; Schön, Dominik; Gugenheimer, Jan",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Include,Include,Yes,Include,,Agreed
Pool 1 (Aravind & Joel),"""Help Me Help the AI"": Understanding How Explainability Can Support Human-AI Interaction","Kim, Sunnie S. Y.; Watkins, Elizabeth Anne; Russakovsky, Olga; Fong, Ruth; Monroy-Hernández, Andrés",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,No,Exclude,There are potentially papers out for addressing the background information around dark patterns.,Resolved
Pool 1 (Aravind & Joel),"""I'm Not Sure, But..."": Examining the Impact of Large Language Models' Uncertainty Expression on User Reliance and Trust","Kim, Sunnie S. Y.; Liao, Q. Vera; Vorvoreanu, Mihaela; Ballard, Stephanie; Vaughan, Jennifer Wortman","Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",Include,For Consideration,No,Include,Paper has good information on the impact of uncertainty in natural language - good to link with sycophancy,Resolved
Pool 1 (Aravind & Joel),"""It's Not the AI's Fault Because It Relies Purely on Data"": How Causal Attributions of AI Decisions Shape Trust in AI Systems","Pareek, Saumya; Schömbs, Sarah; Velloso, Eduardo; Goncalves, Jorge",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,For Consideration,No,Include,Addresses RQ1 on mechanisms of producing dark patterns,Resolved
Pool 1 (Aravind & Joel),"""Mango Mango, How to Let The Lettuce Dry Without A Spinner?"": Exploring User Perceptions of Using An LLM-Based Conversational Assistant Toward Cooking Partner","Chan, Szeyi; Li, Jiachen; Yao, Bingsheng; Mahmood, Amama; Huang, Chien-Ming; Jimison, Holly; Mynatt, Elizabeth D.; Wang, Dakuo",Proc. ACM Hum.-Comput. Interact.,Include,For Consideration,No,Include,(STRICT INCLUDE) Included as it speaks about potential conversational manipulation + includes design considerations for future development,Resolved
Pool 1 (Aravind & Joel),"""Through the Looking Glass, and What We Found There"": A Comprehensive Study of User Experiences with Pass-Through Devices in Everyday Activities","Kim, DaeWook; Min, Yewon; Jeong, Jae-Yeop; Han, Sehee; Hwang, JiYeon; Jeong, Jin-Woo",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"""Was there Bias in your Response?"": LLM Anthropomorphic Traits in Context of Ability Bias Questioning","Iyer, N.; Pradhan, A.",,Include,For Consideration,No,Include,Many forms of dark patterns explained,Resolved
Pool 1 (Aravind & Joel),3 Key Challenges in Designing Advanced Social Robotic Applications,"Liu, Baisong; Tetteroo, Daniel; Markopoulos, Panos",2023 32nd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),Exclude,Exclude,Yes,Exclude,,Agreed
Pool 1 (Aravind & Joel),"50 Shades of Deceptive Patterns: A Unified Taxonomy, Multimodal Detection, and Security Implications","Shi, Z.; Sun, R.; Chen, J.; Sun, J.; Xue, M.; Gao, Y.; Liu, F.; Yuan, X.",,Exclude,Include,No,Include,Addresses RQ1 - explores how LLMs combat dark patterns + provides strong foundational premise of dark patterns,Resolved
