Reviewer_Decision,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
Include,CI39WVGD,conferencePaper,2025,"Lee, Joongho","""Consent by Delight"": How Viral, Playful AI Experiences Blur Privacy Risk Perception and Ethical Boundaries",2025 IEEE International Symposium on Technology and Society (ISTAS),,2158-3412,10.1109/ISTAS65609.2025.11269630,,"Delight increasingly rivals consent. In consumer AI, fast, flattering, ""friction-free"" features collect sensitive signals at scale while people are absorbed in awe, validation, or curiosity. This paper develops a socio-technical account of consent by delight: the erosion of informed, freely given authorization when positive affect, low-friction interfaces, and social acceleration converge. Drawing on information systems, behavioral decision research, HCI, and governance, we explain why consent captured in high-arousal flows is ethically weak even when formal notices exist elsewhere. Methodologically, we conduct multiple case studies of three emblematic experiences—OpenAI’s Ghibli-style image generation, Snapchat’s pinned ""My AI"" companion, and TikTok’s Bold Glamour AR filter—analyzed through a convergent three-lens framework (HCI design patterns, behavioral mechanisms, and legal/standards alignment). Using platform documentation, reputable reporting, and supervisory materials, we trace how choice architecture (e.g., defaults, prompts, social proof) and affect (e.g., flattery, spectacle) suppress risk appraisal and crowd out comprehension at the moment of disclosure. We then translate these findings into affect-aware design and lifecycle controls (just-in-time, task-referential notices; explicit opt-ins for biometric/sensitive processing; child-appropriate variants; dark-pattern audits; comprehension checks; and telemetry for ethical performance) aligned with prevailing frameworks. The contribution is threefold: (1) a mechanism-level explanation of how delight undermines autonomy in mainstream AI experiences; (2) a cross-modal synthesis that distinguishes legal adequacy from ethical legitimacy; and (3) actionable, auditable remedies that preserve enjoyment while restoring the conditions for valid consent. We reinterpret the ""privacy paradox"" as an environment-induced valuation shift and argue that, absent inflow safeguards, consent obtained within viral, affect-rich flows should not be treated as ethically sound authorization.",2025-09,2026-03-20 17:26:18,2026-03-20 18:21:48,,1–8,,,,,,,,,,,,,,,,,,,,,,,,affect heuristic; AR filters; Artificial intelligence; Authorization; biometric data; Biometrics; Chatbots; companion chatbots; Consent; contextual integrity; Cost accounting; dark patterns; digital nudging; Ethics; gamification; lifecycle governance; Privacy; Telemetry; Trajectory; Wearable devices; youth online safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include,HV3GYECR,conferencePaper,2025,"Krauß, Veronika; McGill, Mark; Kosch, Thomas; Thiel, Yolanda Maira; Schön, Dominik; Gugenheimer, Jan","""Create a Fear of Missing Out"" - ChatGPT Implements Unsolicited Deceptive Designs in Generated Websites Without Warning",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,979-8-4007-1394-1,,10.1145/3706598.3713083,https://doi.org/10.1145/3706598.3713083,"With the recent advancements in Large Language Models (LLMs), web developers increasingly apply their code-generation capabilities to website design. However, since these models are trained on existing designerly knowledge, they may inadvertently replicate bad or even illegal practices, especially deceptive designs (DD). This paper examines whether users can accidentally create DD for a fictitious webshop using GPT-4. We recruited 20 participants, asking them to use ChatGPT to generate functionalities (product overview or checkout) and then modify these using neutral prompts to meet a business goal (e.g., “increase the likelihood of us selling our product”). We found that all 20 generated websites contained at least one DD pattern (mean: 5, max: 9), with GPT-4 providing no warnings. When reflecting on the designs, only 4 participants expressed concerns, while most considered the outcomes satisfactory and not morally problematic, despite the potential ethical and legal implications for end-users and those adopting ChatGPT’s recommendations.",2025,2026-03-20 17:26:29,2026-03-20 18:21:48,,,,,,,,,CHI '25,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,ChatGPT; Dark Patterns; Deceptive Design; Design Inspiration; LLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Consideration,3YJLM4E2,conferencePaper,2023,"Kim, Sunnie S. Y.; Watkins, Elizabeth Anne; Russakovsky, Olga; Fong, Ruth; Monroy-Hernández, Andrés","""Help Me Help the AI"": Understanding How Explainability Can Support Human-AI Interaction",Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,978-1-4503-9421-5,,10.1145/3544548.3581001,https://doi.org/10.1145/3544548.3581001,"Despite the proliferation of explainable AI (XAI) methods, little is understood about end-users’ explainability needs and behaviors around XAI explanations. To address this gap and contribute to understanding how explainability can support human-AI interaction, we conducted a mixed-methods study with 20 end-users of a real-world AI application, the Merlin bird identification app, and inquired about their XAI needs, uses, and perceptions. We found that participants desire practically useful information that can improve their collaboration with the AI, more so than technical system details. Relatedly, participants intended to use XAI explanations for various purposes beyond understanding the AI’s outputs: calibrating trust, improving their task skills, changing their behavior to supply better inputs to the AI, and giving constructive feedback to developers. Finally, among existing XAI approaches, participants preferred part-based explanations that resemble human reasoning and explanations. We discuss the implications of our findings and provide recommendations for future XAI design.",2023,2026-03-20 17:26:29,2026-03-20 18:21:48,,,,,,,,,CHI '23,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Explainable AI (XAI); Human-AI Collaboration; Human-AI Interaction; Human-Centered XAI; Interpretability; Local Explanations; XAI for Computer Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Consideration,HYHANNML,conferencePaper,2024,"Kim, Sunnie S. Y.; Liao, Q. Vera; Vorvoreanu, Mihaela; Ballard, Stephanie; Vaughan, Jennifer Wortman","""I'm Not Sure, But..."": Examining the Impact of Large Language Models' Uncertainty Expression on User Reliance and Trust","Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",979-8-4007-0450-5,,10.1145/3630106.3658941,https://doi.org/10.1145/3630106.3658941,"Widely deployed large language models (LLMs) can produce convincing yet incorrect outputs, potentially misleading users who may rely on them as if they were correct. To reduce such overreliance, there have been calls for LLMs to communicate their uncertainty to end users. However, there has been little empirical work examining how users perceive and act upon LLMs’ expressions of uncertainty. We explore this question through a large-scale, pre-registered, human-subject experiment (N=404) in which participants answer medical questions with or without access to responses from a fictional LLM-infused search engine. Using both behavioral and self-reported measures, we examine how different natural language expressions of uncertainty impact participants’ reliance, trust, and overall task performance. We find that first-person expressions (e.g., “I’m not sure, but...”) decrease participants’ confidence in the system and tendency to agree with the system’s answers, while increasing participants’ accuracy. An exploratory analysis suggests that this increase can be attributed to reduced (but not fully eliminated) overreliance on incorrect answers. While we observe similar effects for uncertainty expressed from a general perspective (e.g., “It’s not clear, but...”), these effects are weaker and not statistically significant. Our findings suggest that using natural language expressions of uncertainty may be an effective approach for reducing overreliance on LLMs, but that the precise language used matters. This highlights the importance of user testing before deploying LLMs at scale.",2024,2026-03-20 17:26:28,2026-03-20 18:21:48,,822–835,,,,,,,FAccT '24,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,Human-AI interaction; Large language models; Overreliance; Trust in AI; Uncertainty expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Consideration,QJC5F8JX,bookSection,2025,"Pareek, Saumya; Schömbs, Sarah; Velloso, Eduardo; Goncalves, Jorge","""It's Not the AI's Fault Because It Relies Purely on Data"": How Causal Attributions of AI Decisions Shape Trust in AI Systems",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,979-8-4007-1394-1,,,https://doi.org/10.1145/3706598.3713468,"Humans naturally seek to identify causes behind outcomes through causal attribution, yet Human-AI research often overlooks how users perceive causality behind AI decisions. We examine how this perceived locus of causality—internal or external to the AI—influences trust, and how decision stakes and outcome favourability moderate this relationship. Participants (N=192) engaged with AI-based decision-making scenarios operationalising varying loci of causality, stakes, and favourability, evaluating their trust in each AI. We find that internal attributions foster lower trust as participants perceive the AI to have high autonomy and decision-making responsibility. Conversely, external attributions portray the AI as merely “a tool” processing data, reducing its perceived agency and distributing responsibility, thereby boosting trust. Moreover, stakes moderate this relationship—external attributions foster even more trust in lower-risk, low-stakes scenarios. Our findings establish causal attribution as a crucial yet underexplored determinant of trust in AI, highlighting the importance of accounting for it when researching trust dynamics.",2025,2026-03-20 17:26:29,2026-03-20 18:21:48,,,,,,,,,,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Consideration,PW5HHFC3,journalArticle,2025,"Chan, Szeyi; Li, Jiachen; Yao, Bingsheng; Mahmood, Amama; Huang, Chien-Ming; Jimison, Holly; Mynatt, Elizabeth D.; Wang, Dakuo","""Mango Mango, How to Let The Lettuce Dry Without A Spinner?"": Exploring User Perceptions of Using An LLM-Based Conversational Assistant Toward Cooking Partner",Proc. ACM Hum.-Comput. Interact.,,,10.1145/3757442,https://doi.org/10.1145/3757442,"The rapid advancement of Large Language Models (LLMs) has created numerous potentials for integration with conversational assistants (CAs) assisting people in their daily tasks, particularly due to their extensive flexibility. However, users' real-world experiences interacting with these assistants remain unexplored. In this research, we chose cooking, a complex daily task, as a scenario to explore people's successful and unsatisfactory experiences while receiving assistance from an LLM-based CA, Mango Mango. We discovered that participants value the system's ability to offer customized instructions based on context, provide extensive information beyond the recipe, and assist them in dynamic task planning. However, users expect the system to be more adaptive to oral conversation and provide more suggestive responses to keep them actively involved. Recognizing that users began treating our LLM-CA as a personal assistant or even a partner rather than just a recipe-reading tool, we propose five design considerations for future development.",2025-10,2026-03-20 17:26:29,2026-03-20 18:21:48,,,,7,9,,,,,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,exploratory study; large language model-based conversational assistant; user study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,YGP7LXFM,conferencePaper,2025,"Kim, DaeWook; Min, Yewon; Jeong, Jae-Yeop; Han, Sehee; Hwang, JiYeon; Jeong, Jin-Woo","""Through the Looking Glass, and What We Found There"": A Comprehensive Study of User Experiences with Pass-Through Devices in Everyday Activities",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,979-8-4007-1394-1,,10.1145/3706598.3714221,https://doi.org/10.1145/3706598.3714221,"Pass-through technologies are promising for mixed reality (MR) systems. Therefore, various MR applications operating in pass-through devices emerged in diverse domains, such as education and healthcare. However, research on the everyday use of pass-through devices remains limited, despite it blending real and virtual environments. This study explores the user experience of pass-through devices in people’s daily tasks. We conducted a field study with 16 participants and analyzed data from eight daily tasks. For in-depth analysis, we employed three measures in terms of quantitative, qualitative, and bio-signal. As a result, we found that participants felt differently in terms of immersion, collision anxiety, and workload. Findings suggest that pass-through devices are not yet fully ready for integration into daily life. However, the potential for widespread adoption exists as the technology continues to advance. Finally, we offer guidelines and considerations to improve the usability of pass-through devices for everyday use.",2025,2026-03-20 17:26:26,2026-03-20 18:21:48,,,,,,,,,CHI '25,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,everyday use; field study; human-computer interaction; Mixed reality; pass-through devices; user experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Consideration,ED3RE34Y,conferencePaper,2025,"Iyer, N.; Pradhan, A.","""Was there Bias in your Response?"": LLM Anthropomorphic Traits in Context of Ability Bias Questioning",,,,10.1145/3715070.3749272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031884882&doi=10.1145%2F3715070.3749272&partnerID=40&md5=5a83269a427f446a20e9c4c8d87f72ca,"As generative AI-based conversational chatbots like ChatGPT become increasingly socially responsive, users are likely to attribute human-like traits or anthropomorphize them. While the personification of conversational agents can enhance engagement, it also raises concerns around misplaced trust, moral attribution, and the overestimation of system capabilities. These risks become critical in the context of fairness, where identity-based biases in LLM responses can have societal impacts (i.e. unequal outcomes for underrepresented groups, potentially reinforcing societal stereotypes). In this paper, we examine how anthropomorphism manifests when LLMs are questioned about ability bias. Through a qualitative analysis of ChatGPT responses, we identify recurring anthropomorphic traits including apologizing, ethical self-reflection, intended improvement, and simulated human-AI dialogue. While such behaviors may make responses appear thoughtful and socially aware, they risk obscuring a system’s lack of genuine understanding or accountability. We also discuss risks and open questions pertaining to anthropomorphic sycophancy, moral legibility, and the portrayal of a LLM’s chatbot persona. © 2025 Copyright held by the owner/author(s).",2025,2026-03-20 17:26:23,2026-03-20 18:21:48,,471–476,,,,,,,,,,,,,,,,,,,,,,,,Ability Bias.; Anthropomorphism; Fairness; Large Language Models; Personification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,PW5N8WU6,conferencePaper,2023,"Liu, Baisong; Tetteroo, Daniel; Markopoulos, Panos",3 Key Challenges in Designing Advanced Social Robotic Applications,2023 32nd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),,1944-9437,10.1109/RO-MAN57019.2023.10309623,,"Social robotic (SR) applications are expected to advance in the near future, which is indicated by the level of autonomy of SR, and is supported by the maturing of key technologies. However, technical, research-practice communication, and ethical challenges remain in the design of such advanced SR applications. In this paper, we start with our research cases through which we encountered and explored the challenges facing the design practice of advanced SR applications. Then we present an overview of recent design research endeavors in the HRI field and our research cases to demonstrate design research’s characteristics, focus, and approaches. Finally, we discuss how the eliciting, speculative, and communicative approaches of design research can support user investigations with the hindrances of technical limitations, communicate between basic & applied research and design practice, and engage in ethical explorations of advanced SR applications.",2023-08,2026-03-20 17:26:19,2026-03-20 18:21:48,,1004–1011,,,,,,,,,,,,,,,,,,,,,,,,Ethics; Human-robot interaction; Probes; Robots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include,VM6ZPFT8,conferencePaper,2025,"Shi, Z.; Sun, R.; Chen, J.; Sun, J.; Xue, M.; Gao, Y.; Liu, F.; Yuan, X.","50 Shades of Deceptive Patterns: A Unified Taxonomy, Multimodal Detection, and Security Implications",,,,10.1145/3696410.3714593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005139151&doi=10.1145%2F3696410.3714593&partnerID=40&md5=894e8975c434d94a5d382d603b638e1b,"Deceptive patterns (DPs) are user interface designs deliberately crafted to manipulate users into unintended decisions, often by exploiting cognitive biases for the benefit of companies or services. While numerous studies have explored ways to identify these deceptive patterns, many existing solutions require significant human intervention and struggle to keep pace with the evolving nature of deceptive designs. To address these challenges, we expanded the deceptive pattern taxonomy from security and privacy perspectives, refining its categories and scope. We created a comprehensive dataset of deceptive patterns by integrating existing small-scale datasets with new samples, resulting in 6,725 images and 10,421 DP instances from mobile apps and websites. We then developed DPGuard, a novel automatic tool leveraging commercial multimodal large language models (MLLMs) for deceptive pattern detection. Experimental results show that DPGuard outperforms state-of-the-art methods. An extensive empirical evaluation on 2,000 popular mobile apps and websites reveals that 25.7% of mobile apps and 49.0% websites feature at least one deceptive pattern instance. Through 4 unexplored case studies that inform security implications, we highlight the critical importance of the unified taxonomy in addressing the growing challenges of Internet deception. © 2025 Copyright held by the owner/author(s).",2025,2026-03-20 17:26:23,2026-03-20 18:21:48,,978–989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
